fold,week,week_start,week_end,weekly_rmse,weekly_mae,weekly_smape
1,1,2025-01-01,2025-01-07 23:00:00,519.1926306280849,402.9068447857143,157.43401247553172
1,2,2025-01-08,2025-01-14 23:00:00,709.6077214209558,634.5774405476191,180.0494825269191
1,3,2025-01-15,2025-01-21 23:00:00,1316.4775917344248,1179.302378720238,192.7845001012399
1,4,2025-01-22,2025-01-28 23:00:00,731.5407412375308,638.6544626666667,184.1455877704899
1,5,2025-01-29,2025-02-04 23:00:00,995.76253188036,963.8286215892856,191.7889660353627
1,6,2025-02-05,2025-02-11 23:00:00,803.9698221878907,760.4711592380952,189.37662450922943
1,7,2025-02-12,2025-02-18 23:00:00,1114.0332050186882,1077.1364190059526,192.79211132746045
1,8,2025-02-19,2025-02-25 23:00:00,676.1415260427881,608.6783465416667,183.32317773251822
1,9,2025-02-26,2025-03-04 23:00:00,765.3785362945694,669.7137617499999,176.33319478142374
1,10,2025-03-05,2025-03-11 23:00:00,731.550459058093,627.069970077381,175.7598843192739
1,11,2025-03-12,2025-03-18 23:00:00,783.7735678696422,717.0099238988095,184.32436720681545
1,12,2025-03-19,2025-03-25 23:00:00,720.8092552308663,558.6684791726191,164.59243266550254
1,13,2025-03-26,2025-04-01 23:00:00,683.6726126215062,591.7230653749999,170.87650984706403
1,14,2025-04-02,2025-04-08 23:00:00,663.0976286172439,559.0084742023809,183.7789592347328
1,15,2025-04-09,2025-04-15 23:00:00,561.4439689424506,455.67521402380953,169.53490798428365
1,16,2025-04-16,2025-04-22 23:00:00,682.616369939796,616.6726293511905,180.77489835833316
1,17,2025-04-23,2025-04-29 23:00:00,650.4162925608259,576.5704437559524,184.46221078568678
1,18,2025-04-30,2025-05-06 23:00:00,554.249448457858,460.96475420238096,181.13375139418716
1,19,2025-05-07,2025-05-13 23:00:00,683.5904372858816,606.6073862916667,173.69050152540098
1,20,2025-05-14,2025-05-20 23:00:00,573.1589296990363,459.1686908988094,175.99304453239773
1,21,2025-05-21,2025-05-27 23:00:00,467.05742491015235,356.4597585952381,164.0740221852664
1,22,2025-05-28,2025-06-03 23:00:00,523.7685872484104,403.9730821845237,165.19434665128367
1,23,2025-06-04,2025-06-10 23:00:00,507.64162250831464,399.57155101785713,163.2231720152284
1,24,2025-06-11,2025-06-17 23:00:00,542.2046679316716,432.07224098214283,165.564997725099
1,25,2025-06-18,2025-06-24 23:00:00,524.7857856179648,381.8685899523809,160.46947075142904
1,26,2025-06-25,2025-07-01 23:00:00,745.5424087855728,536.9588558690475,168.23297666372088
1,27,2025-07-02,2025-07-08 23:00:00,626.4336805419415,534.457658267857,170.268752798929
1,28,2025-07-09,2025-07-15 23:00:00,634.1618787597002,570.7319311011904,177.81433275031304
1,29,2025-07-16,2025-07-22 23:00:00,659.5702204410826,612.4258111785714,177.68362203039925
1,30,2025-07-23,2025-07-29 23:00:00,623.2224289940132,569.7556039166667,177.69204552619996
1,31,2025-07-30,2025-08-05 23:00:00,492.69794030107244,397.03767332738096,157.61308089639866
1,32,2025-08-06,2025-08-12 23:00:00,605.90714004825,492.383850720238,160.57488011278457
1,33,2025-08-13,2025-08-19 23:00:00,684.8987220698024,598.163881452381,178.50552522135564
1,34,2025-08-20,2025-08-26 23:00:00,663.9814360076053,597.0209280119046,176.45174451918473
1,35,2025-08-27,2025-09-02 23:00:00,780.9868542416096,703.6670042321427,183.7549974277228
1,36,2025-09-03,2025-09-09 23:00:00,824.6348743850014,670.599571095238,173.70970164093745
1,37,2025-09-10,2025-09-16 23:00:00,571.0509024068035,422.5641112083334,147.43637966340913
1,38,2025-09-17,2025-09-23 23:00:00,658.5525468299965,531.5514720238095,165.48006210615225
1,39,2025-09-24,2025-09-30 23:00:00,820.1990813357651,728.8109008943452,187.57320933990346
1,40,2025-10-01,2025-10-07 23:00:00,709.2358128036076,536.8539458645834,166.0297313192189
1,41,2025-10-08,2025-10-14 23:00:00,876.1456757226913,766.3380425014881,188.7006697045905
1,42,2025-10-15,2025-10-21 23:00:00,722.8942479940421,667.2098282380952,187.52995359293848
1,43,2025-10-22,2025-10-28 23:00:00,555.968423979833,411.22634946577386,151.39341002454523
1,44,2025-10-29,2025-11-04 23:00:00,567.7234892548785,524.4868682455357,181.19918212492203
1,45,2025-11-05,2025-11-11 23:00:00,761.1118641959988,741.4597611979166,189.8152580697759
1,46,2025-11-12,2025-11-18 23:00:00,630.0006880067308,583.3313588913691,180.54913826731996
1,47,2025-11-19,2025-11-25 23:00:00,1072.4113679417874,920.5201553764879,189.1952780806096
1,48,2025-11-26,2025-12-02 23:00:00,659.5033994152745,549.6442285133929,180.63967875461827
1,49,2025-12-03,2025-12-09 23:00:00,833.1310723424596,745.5462463616071,187.16661551749013
1,50,2025-12-10,2025-12-16 23:00:00,587.9932232597008,535.0449629092261,183.5273148621805
1,51,2025-12-17,2025-12-23 23:00:00,617.7769460926503,588.520944626488,183.2532687137998
1,52,2025-12-24,2025-12-30 23:00:00,559.8928678353539,530.7626530029762,183.46582116979567
1,53,2025-12-31,2025-12-31 23:00:00,622.843933437947,616.2331526249999,188.17897141705825
