kernel,C,gamma,epsilon,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
linear,"0,1",scale,"0,5","63,90399320727353","332,5581153277103","252,29289884989285","63,90399320727353","290,2620526874418","252,29289884989285","63,90399320727352","52,1437056968293","45,496933358897344","54,61609817449211","57,59051506274325","70,99162249435663","79,10390649675253","87,38517116684352"
linear,"0,1",scale,"0,1","63,93531357262177","332,5936761089265","252,3577577939849","63,93531357262177","290,3203732936296","252,35775779398486","63,93531357262177","52,14255914001642","45,5005019742603","54,62384555453144","57,614159107308524","71,04955932294985","79,17919604000532","87,43737386928052"
linear,"0,1",scale,"0,01","63,94200037695461","332,5951765722109","252,3602604143752","63,94200037695461","290,32322357617693","252,36026041437523","63,94200037695462","52,14011944960644","45,50606552128822","54,626684941904216","57,62805653292342","71,0634263912803","79,19588236158441","87,4337674400953"
linear,"1,0",scale,"0,5","71,03691121244123","427,81161272814575","309,73688045009385","71,03691121244123","354,0505821888772","309,73688045009385","71,03691121244124","53,53144968968535","51,33340980456673","68,17587442626353","63,72850654484236","79,43641757187387","84,3385349805384","96,71418546931837"
linear,"1,0",scale,"0,1","71,10444226227634","428,0735252227033","309,9483942126309","71,10444226227634","354,2650515144686","309,9483942126309","71,10444226227634","53,5577218096477","51,36757195852198","68,21592963283979","63,779634242093984","79,52126446447562","84,49042983113767","96,7985438972176"
linear,"1,0",scale,"0,01","71,12984354026074","428,12836546181154","310,0215405784342","71,12984354026074","354,3469703538885","310,0215405784342","71,12984354026072","53,57144415857812","51,38833065579671","68,22926096628395","63,78575585364767","79,57745111949362","84,54380901085923","96,81285301716584"
linear,"10,0",scale,"0,5","83,23884378842675","528,7111534456883","389,50649221822215","83,23884378842675","438,9065256598839","389,5064922182222","83,23884378842673","62,35657097096922","67,19312774225381","78,49802555864585","76,92164512209229","89,21620167504655","100,80680007176292","107,6795353782165"
linear,"10,0",scale,"0,1","83,32981376748648","529,25848660853","390,1735284150719","83,32981376748648","439,5762085430347","390,1735284150719","83,32981376748648","62,45668634183612","67,32038624890681","78,5729440611269","77,01910472680052","89,23298640818653","100,91827186974751","107,78831671580102"
linear,"10,0",scale,"0,01","83,37910083523565","529,7815566759645","390,6464566791235","83,37910083523565","440,0835123960686","390,64645667912356","83,37910083523563","62,521853208791","67,39424266522654","78,61141371606585","77,07250346469709","89,2336262887379","100,96826253670531","107,85180396642592"
linear,"100,0",scale,"0,01","96,92199957704204","664,6060748848658","512,2346215936888","96,92199957704204","574,7982544872315","512,2346215936888","96,92199957704204","76,299942547643","82,00512712340766","88,70587079844276","88,78217564633482","99,40137555518331","118,84091605883322","124,41858930944959"
linear,"100,0",scale,"0,1","97,09241055854335","666,701049358406","514,1056896080986","97,09241055854335","576,9198792241297","514,1056896080985","97,09241055854334","76,51126492572111","82,17302322061242","88,83674783819754","88,91479819845792","99,54539387874449","118,9948042620944","124,67084158597555"
linear,"100,0",scale,"0,5","97,66617393935553","673,6488875127698","520,419747689527","97,66617393935553","584,0516788360344","520,419747689527","97,66617393935553","77,188096658981","82,76280345398052","89,29328713743828","89,36376083814952","100,06009546910508","119,4990852230541","125,49608879478016"
