max_depth,learning_rate,subsample,colsample_bytree,avg_smape
3,"0,01","0,8","0,8","59,30001727716305"
3,"0,2","1,0","0,8","59,32430286490578"
3,"0,01","1,0","0,8","59,35558885373625"
9,"0,1","0,8","0,8","59,427867268542286"
6,"0,2","0,8","0,8","59,58544157072283"
3,"0,2","0,8","0,8","60,23248955042261"
9,"0,1","1,0","0,8","60,293564251804305"
3,"0,1","0,8","1,0","60,4361128750922"
3,"0,1","0,8","0,8","60,5357505742919"
3,"0,01","1,0","1,0","60,564641542836455"
3,"0,01","0,8","1,0","60,678992549253486"
9,"0,2","0,8","0,8","60,69153126137963"
6,"0,1","0,8","0,8","60,925993813021954"
3,"0,1","1,0","0,8","61,091065218888346"
9,"0,2","1,0","0,8","61,29172897979201"
6,"0,2","1,0","0,8","61,637967307227015"
3,"0,1","1,0","1,0","61,71159253304257"
6,"0,01","0,8","0,8","61,73160869861246"
6,"0,01","1,0","0,8","61,86323846969574"
9,"0,01","0,8","0,8","61,88663574410595"
9,"0,01","1,0","0,8","62,08456869574864"
6,"0,1","1,0","0,8","62,58686795829331"
3,"0,2","1,0","1,0","63,402788821602655"
6,"0,1","0,8","1,0","64,48979550693606"
3,"0,2","0,8","1,0","64,54523988205857"
9,"0,1","0,8","1,0","64,94760926739282"
9,"0,1","1,0","1,0","65,46741617182084"
6,"0,1","1,0","1,0","66,457183212004"
6,"0,01","0,8","1,0","67,02718105949566"
6,"0,01","1,0","1,0","67,2556631927991"
6,"0,2","1,0","1,0","67,50606749597432"
9,"0,2","0,8","1,0","69,26704400475975"
9,"0,01","0,8","1,0","69,62119871778958"
9,"0,2","1,0","1,0","69,80806268530951"
9,"0,01","1,0","1,0","69,87461516739855"
6,"0,2","0,8","1,0","80,85070156797035"
